"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Tachypleus","Tachypleus","Arthropoda","Xiphosura","Xiphosurida","Limulidae",237,242,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Tarracolimulus","Tarracolimulus","Arthropoda","Xiphosura","Xiphosurida","Limulidae",237,242,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Crania","Crania","Brachiopoda","Craniata","Craniida","Craniidae",201.3,259.9,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,6,2,3
"Orbiculoidea","Orbiculoidea","Brachiopoda","Lingulata","Lingulida","Disciniidae",228,265.1,80,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,23,8,6
"Pomatospirella","Pomatospirella","Brachiopoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",232,242,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Athyris","Athyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",228,242,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,9,1,1
"Dioristella","Dioristella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,242,26,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Anisactinella","Anisactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,28,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,2
"Diplospirella","Diplospirella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,247.2,61,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,1,2
"Oxycolpella","Oxycolpella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,79,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Pentactinella","Pentactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",232,242,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Pexidella","Pexidella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,23,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,2,1
