"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Cavellina","Cavellina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",251.3,265.1,83,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,39,9,6
"Sulcella","Sulcella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",252.17,265.1,9,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,2
"Coelonella","Coelonella","Arthropoda","Ostracoda","Platycopida","Coelonellidae",252.17,254.17,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Hollinella","Hollinella","Arthropoda","Ostracoda","Platycopida","Hollinellidae",251.3,265.1,77,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,27,8,5
"Indivisia","Indivisia","Arthropoda","Ostracoda","Platycopida","Indivisiidae",252.17,259.9,9,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,8,2,2
"Oliganisus","Oliganisus","Arthropoda","Ostracoda","Platycopida","Kloedenellidae",252.17,254.17,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,4,1,1
"Glyptopleurina","Glyptopleurina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",252.17,254.17,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Knoxiella","Knoxiella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",251.3,265.1,36,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,29,6,4
"Sargentina","Sargentina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",252.17,259.9,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,14,2,3
"Miltonella","Miltonella","Arthropoda","Ostracoda","Platycopida","Miltonellidae",252.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Chamishaella","Chamishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Langdaia","Langdaia","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.2,265.1,25,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Paraparchites","Paraparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,44,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,41,6,3
"Samarella","Samarella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.3,265.1,117,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,102,2,3
"Moorites","Moorites","Arthropoda","Ostracoda","Platycopida","Youngiellidae",252.17,254.17,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Permoyoungiella","Permoyoungiella","Arthropoda","Ostracoda","Platycopida","Youngiellidae",252.17,259.9,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Acratia","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",232,265.1,153,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,87,10,4
"Acratinella","Acratinella","Arthropoda","Ostracoda","Podocopida","Acratiidae",252.17,259.9,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Cooperuna","Cooperuna","Arthropoda","Ostracoda","Podocopida","Acratiidae",252.17,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Abrobairdia","Abrobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,254.17,7,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,7,2,1
"Acratina","Acratina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",242,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Arcibairdia","Arcibairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,572,55,6
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,171,12,6
"Bairdiolites","Bairdiolites","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,12,1,1
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,13,3,2
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,108,10,4
"Kempfina","Kempfina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",242,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,9,3,2
"Lobobairdia","Lobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,254.17,67,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,58,2,1
"Mirabairdia","Mirabairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",221.5,254.17,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,23,3,1
"Orthobairdia","Orthobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",251.3,265.1,53,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,48,5,2
"Paraglyptobairdia","Paraglyptobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paramacrocypris","Paramacrocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,259.9,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,2
"Petasobairdia","Petasobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,265.1,97,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,77,4,3
"Praelobobairdia","Praelobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Praezabythocypris","Praezabythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",251.3,259.9,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Pustulobairdia","Pustulobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,7,2,1
"Baschkirina","Baschkirina","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,55,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,53,2,2
"Praepilatina","Praepilatina","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,8,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,1,1
"Pseudobythocypris","Pseudobythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,34,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,33,3,1
"Silenis","Silenis","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,1,1
"Silenites","Silenites","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,254.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,26,3,2
"Acanthoscapha","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,1,1
"Callicythere","Callicythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",242,265.1,58,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
