"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Paguristes","Paguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,100.5,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,3,3
"Parapaguristes","Parapaguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",66,70.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
"Petrochirus","Petrochirus","Arthropoda","Malacostraca","Decapoda","Diogenidae",41.3,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eodorippe","Eodorippe","Arthropoda","Malacostraca","Decapoda","Dorippidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dromia","Dromia","Arthropoda","Malacostraca","Decapoda","Dromiidae",61.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Distefania","Distefania","Arthropoda","Malacostraca","Decapoda","Dynomenidae",70.6,83.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dromiopsis","Dromiopsis","Arthropoda","Malacostraca","Decapoda","Dynomenidae",33.9,70.6,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,1
"Graptocarcinus","Graptocarcinus","Arthropoda","Malacostraca","Decapoda","Dynomenidae",66,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,2,2
"Enoploclytia","Enoploclytia","Arthropoda","Malacostraca","Decapoda","Erymidae",56,105.3,10,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,4,4,3
"Palaeastacus","Palaeastacus","Arthropoda","Malacostraca","Decapoda","Erymidae",66,100.5,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Pustulina","Pustulina","Arthropoda","Malacostraca","Decapoda","Erymidae",66,83.5,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Xanthosia","Xanthosia","Arthropoda","Malacostraca","Decapoda","Etyidae",23.03,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,3,2
"Calteagalathea","Calteagalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Galathea","Galathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",23.03,100.5,15,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Paragalathea","Paragalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",66,105.3,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Ekalakia","Ekalakia","Arthropoda","Malacostraca","Decapoda","Glaessneropsidae",66,72.1,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,4,2,1
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",41.3,113,48,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Gourretia","Gourretia","Arthropoda","Malacostraca","Decapoda","Gourretiidae",66,100.5,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Homolopsis","Homolopsis","Arthropoda","Malacostraca","Decapoda","Homolidae",61.6,113,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Latheticocarcinus","Latheticocarcinus","Arthropoda","Malacostraca","Decapoda","Homolidae",47.8,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Homolodromia","Homolodromia","Arthropoda","Malacostraca","Decapoda","Homolodromiidae",38,83.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Preclarocarcinus","Preclarocarcinus","Arthropoda","Malacostraca","Decapoda","Homolodromiidae",70.6,83.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Branchiocarcinus","Branchiocarcinus","Arthropoda","Malacostraca","Decapoda","Icriocarcinidae",66,70.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Binkhorstia","Binkhorstia","Arthropoda","Malacostraca","Decapoda","Longusorbiidae",66,70.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
"Longusorbis","Longusorbis","Arthropoda","Malacostraca","Decapoda","Longusorbiidae",37.2,83.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Lyreidina","Lyreidina","Arthropoda","Malacostraca","Decapoda","Lyreididae",66,70.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Macroacaena","Macroacaena","Arthropoda","Malacostraca","Decapoda","Lyreididae",23.03,70.6,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Symethoides","Symethoides","Arthropoda","Malacostraca","Decapoda","Lyreididae",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Ophthalmoplax","Ophthalmoplax","Arthropoda","Malacostraca","Decapoda","Macropipidae",66,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,4,2,2
"Meyeria","Meyeria","Arthropoda","Malacostraca","Decapoda","Mecochiridae",66,113,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Stenocionops","Stenocionops","Arthropoda","Malacostraca","Decapoda","Mithracidae",33.9,100.5,2,"epifaunal","fast, motile","grazer","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eomunidopsis","Eomunidopsis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",47.8,105.3,15,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,9,2,2
"Munidopsis","Munidopsis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",41.3,83.6,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Elektrocarcinus","Elektrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Glyptodynomene","Glyptodynomene","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,105.3,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Necrocarcinus","Necrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",61.6,113,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,3,2
"Pseudonecrocarcinus","Pseudonecrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Homarus","Homarus","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,109,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Hoploparia","Hoploparia","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,113,51,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,31,12,6
"Jagtia","Jagtia","Arthropoda","Malacostraca","Decapoda","Nephropidae",66,70.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Metanephrops","Metanephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",56,83.6,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Nephrops","Nephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",56,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Oncopareia","Oncopareia","Arthropoda","Malacostraca","Decapoda","Nephropidae",33.9,113,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaeonephrops","Palaeonephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",70.6,83.6,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
