"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Eucytherura","Eucytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,33,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,9,2,2
"Procytherura","Procytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Hungarella","Hungarella","Arthropoda","Ostracoda","Podocopida","Healdiidae",189.6,252.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Ledahia","Ledahia","Arthropoda","Ostracoda","Podocopida","Healdiidae",181,196.5,28,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,28,2,3
"Ogmoconchella","Ogmoconchella","Arthropoda","Ostracoda","Podocopida","Healdiidae",181,208.5,121,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,77,9,3
"Pseudohealdia","Pseudohealdia","Arthropoda","Ostracoda","Podocopida","Healdiidae",182.7,189.6,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,2
"Pseudomacrocypris","Pseudomacrocypris","Arthropoda","Ostracoda","Podocopida","Macrocyprididae",174.1,196.5,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,11,1,3
"Aphelocythere","Aphelocythere","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",175.6,182.7,7,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Ektyphocythere","Ektyphocythere","Arthropoda","Ostracoda","Podocopida","Protocytheridae",174.1,201.3,88,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,37,7,2
"Gammacythere","Gammacythere","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",182.7,190.8,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,1,3
"Gramannella","Gramannella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",181,199.3,37,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,37,1,3
"Kinkelinella","Kinkelinella","Arthropoda","Ostracoda","Podocopida","Protocytheridae",174.1,199.3,91,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,24,3,2
"Lophodentina","Lophodentina","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",182.7,199.3,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,2
"Otocythere","Otocythere","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",174.1,182.7,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
