"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Gramannella","Gramannella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",181,199.3,37,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Kinkelinella","Kinkelinella","Arthropoda","Ostracoda","Podocopida","Protocytheridae",174.1,199.3,91,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Lophodentina","Lophodentina","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",182.7,199.3,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Liasina","Liasina","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",174.1,196.5,79,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Pontocyprella","Pontocyprella","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",182.7,235,25,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Klinglerella","Klinglerella","Arthropoda","Ostracoda","Podocopida","Protocytheridae",189.6,201.3,8,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,2
"Cardobairdia","Cardobairdia","Arthropoda","Ostracoda","Podocopida","Saipanettidae",174.1,196.5,30,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ostenocaris","Ostenocaris","Arthropoda","Thylacocephala","Conchyliocarida","Ostenocarididae",189.6,196.5,1,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Discinisca","Discinisca","Brachiopoda","Lingulata","Lingulida","Disciniidae",174.1,228,16,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,1,1,1
"Arzonella","Arzonella","Brachiopoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",190.8,199.3,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Amphiclinodonta","Amphiclinodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",182.7,242,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Koninckella","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,247.2,36,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Koninckodonta","Koninckodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,199.3,24,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Hectoria","Hectoria","Brachiopoda","Rhynchonellata","Atrypida","Atrypinidae",189.6,212,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Apringia","Apringia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",175.6,201.3,102,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,2
"Jakubirhynchia","Jakubirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",180,201.3,34,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,19,3,2
"Alebusirhynchia","Alebusirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",182.7,196.5,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Prionorhynchia","Prionorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Prionorhynchiidae",174.1,201.3,146,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,58,11,3
"Rudirhynchia","Rudirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",170.3,196.5,53,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Squamirhynchia","Squamirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",182.7,196.5,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Rhynchonellina","Rhynchonellina","Brachiopoda","Rhynchonellata","Rhynchonellida","Dimerellidae",189.6,201.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Sulcirostra","Sulcirostra","Brachiopoda","Rhynchonellata","Rhynchonellida","Dimerellidae",189.6,201.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Holcorhynchia","Holcorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",180,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Maxillirhynchia","Maxillirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,228,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Pisirhynchia","Pisirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,201.3,42,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,2,2
"Ochotorhynchia","Ochotorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Ochotorhynchiidae",190.8,201.3,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,1,2
"Nucleata","Nucleata","Brachiopoda","Rhynchonellata","Rhynchonellida","Pontisiidae",182.7,196.5,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Lokutella","Lokutella","Brachiopoda","Rhynchonellata","Rhynchonellida","Prionorhynchiidae",175.6,196.5,63,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Calcirhynchia","Calcirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Wellerellidae",182.7,208.5,94,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,24,4,3
"Caledorhynchia","Caledorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",190.8,199.3,13,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,13,1,1
"Cuneirhynchia","Cuneirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,201.3,96,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,20,5,2
"Furcirhynchia","Furcirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,201.3,110,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,12,2,3
"Grestenella","Grestenella","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",196.5,201.3,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Herangirhynchia","Herangirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,205.6,151,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,22,2,3
"Homoeorhynchia","Homoeorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",171.6,201.3,298,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,2,2
"Murihikurhynchia","Murihikurhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",190.8,227.5,75,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,1,2
"Piarorhynchia","Piarorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,237,88,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,3,3
