"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Petasobairdia","Petasobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,265.1,97,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,1
"Ptychobairdia","Ptychobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,252.17,50,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,2
"Pustulobairdia","Pustulobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Urobairdia","Urobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,251.3,31,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Acanthoscapha","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Gencella","Gencella","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kerocythere","Kerocythere","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,247.2,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,4,2
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Covracythere","Covracythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",205.6,252.17,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Striatojonesia","Striatojonesia","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",181,235,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Triassocythere","Triassocythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",232,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Triceratina","Triceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",201.3,247.2,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Gemmanella","Gemmanella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Glorianella","Glorianella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Speluncella","Speluncella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Eucytherura","Eucytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,33,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,6,4,3
"Mockella","Mockella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",221.5,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Movschovitschia","Movschovitschia","Arthropoda","Ostracoda","Podocopida","Cytheruridae",232,235,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Procytherura","Procytherura","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,235,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Lutkevichinella","Lutkevichinella","Arthropoda","Ostracoda","Podocopida","Glorianellidae",235,247.2,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Hungarella","Hungarella","Arthropoda","Ostracoda","Podocopida","Healdiidae",189.6,252.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,2
"Simeonella","Simeonella","Arthropoda","Ostracoda","Podocopida","Limnocytheridae",221.5,247.2,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,11,2,2
"Leviella","Leviella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",201.3,237,7,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,1,1
"Renngartenella","Renngartenella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",221.5,251.3,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Spinocypris","Spinocypris","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",232,251.3,32,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Pontocyprella","Pontocyprella","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",182.7,235,25,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Spinomicrocheilinella","Spinomicrocheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",232,259.9,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Microcaris","Microcaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",212,247.2,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Crania","Crania","Brachiopoda","Craniata","Craniida","Craniidae",201.3,259.9,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Orbicula","Orbicula","Brachiopoda","Craniata","Craniida","Craniidae",232,235,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,1
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Orbiculoidea","Orbiculoidea","Brachiopoda","Lingulata","Lingulida","Disciniidae",228,265.1,80,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",1,3,1,1
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,13,5,5
"Pomatospirella","Pomatospirella","Brachiopoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",232,242,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Thecidium","Thecidium","Brachiopoda","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",232,235,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Athyris","Athyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",228,242,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Dioristella","Dioristella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,242,26,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,17,2,2
"Anisactinella","Anisactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,28,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,18,2,2
"Anomactinella","Anomactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",232,235,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Diplospirella","Diplospirella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,247.2,61,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,51,3,2
"Euractinella","Euractinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,237,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,2
"Misolia","Misolia","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,237,14,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Oxycolpella","Oxycolpella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,79,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,9,4,4
"Pentactinella","Pentactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",232,242,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Pexidella","Pexidella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,23,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Spirigerellina","Spirigerellina","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,251.3,29,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,3,3
"Stolzenburgiella","Stolzenburgiella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,1,1
"Tetractinella","Tetractinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,247.2,93,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,11,3,2
