"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Zygastrocarcinus","Zygastrocarcinus","Arthropoda","Malacostraca","Decapoda","Homolidae",99.6,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Rhinodromia","Rhinodromia","Arthropoda","Malacostraca","Decapoda","Homolodromiidae",89.8,113,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Lithophylax","Lithophylax","Arthropoda","Malacostraca","Decapoda","Lithophylacidae",93.5,99.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dioratiopus","Dioratiopus","Arthropoda","Malacostraca","Decapoda","Longodromitidae",99.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Glaessnerella","Glaessnerella","Arthropoda","Malacostraca","Decapoda","Longodromitidae",93.5,113,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,1
"Hemioon","Hemioon","Arthropoda","Malacostraca","Decapoda","Lyreididae",95.2,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,2
"Symethoides","Symethoides","Arthropoda","Malacostraca","Decapoda","Lyreididae",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ophthalmoplax","Ophthalmoplax","Arthropoda","Malacostraca","Decapoda","Macropipidae",66,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Meyeria","Meyeria","Arthropoda","Malacostraca","Decapoda","Mecochiridae",66,113,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Meticonaxius","Meticonaxius","Arthropoda","Malacostraca","Decapoda","Micheleidae",99.6,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Stenocionops","Stenocionops","Arthropoda","Malacostraca","Decapoda","Mithracidae",33.9,100.5,2,"epifaunal","fast, motile","grazer","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eomunidopsis","Eomunidopsis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",47.8,105.3,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Corazzatocarcinus","Corazzatocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",93.9,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,1,2
"Elektrocarcinus","Elektrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Glyptodynomene","Glyptodynomene","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Necrocarcinus","Necrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",61.6,113,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Paranecrocarcinus","Paranecrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,109,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
