"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Eopsiloceras","Eopsiloceras","Mollusca","Cephalopoda","Phylloceratida","Ussuritidae",196.5,221.5,9,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,7,2,4
"Wopfingites","Wopfingites","Mollusca","Cephalopoda","Phylloceratida","Ussuritidae",205.6,212,1,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Anoptychia","Anoptychia","Mollusca","Gastropoda","Allogastropoda","Anoptychiidae",189.6,247.2,41,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,5,2,1
"Promathilda","Promathilda","Mollusca","Gastropoda","Allogastropoda","Gordenellidae",201.3,251.3,12,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,6,4,1
"Promathildia","Promathildia","Mollusca","Gastropoda","Allogastropoda","Gordenellidae",174.1,259.9,88,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,2,2,2
"Siphonilda","Siphonilda","Mollusca","Gastropoda","Allogastropoda","Mathildidae",205.6,212,1,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Teretrina","Teretrina","Mollusca","Gastropoda","Allogastropoda","Mathildidae",201.3,247.2,35,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,24,7,2
"Camponaxis","Camponaxis","Mollusca","Gastropoda","Allogastropoda","Tofanellidae",201.3,235,6,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,3,1,1
"Neodonaldina","Neodonaldina","Mollusca","Gastropoda","Allogastropoda","Tofanellidae",174.1,247.2,26,"epifaunal","slow, motile","grazer/predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Ampullospira","Ampullospira","Mollusca","Gastropoda","Architaenioglossa","Ampullinidae",175.6,228,31,"epifaunal","slow, motile","grazer","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Actaeonella","Actaeonella","Mollusca","Gastropoda","Architectibranchia","Acteonellidae",201.3,237,1,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Conactaeon","Conactaeon","Mollusca","Gastropoda","Architectibranchia","Cylindrobullinidae",201.3,228,9,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,8,2,1
"Cylindrobullina","Cylindrobullina","Mollusca","Gastropoda","Architectibranchia","Cylindrobullinidae",174.1,251.3,78,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,25,8,2
"Consobrinella","Consobrinella","Mollusca","Gastropoda","Architectibranchia","Tubiferidae",182.7,208.5,2,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,1,1,1
"Domerionina","Domerionina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Acteoninidae",182.7,237,8,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Sinuarbullina","Sinuarbullina","Mollusca","Gastropoda","Architectibranchia","Tubiferidae",182.7,252.17,4,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Anomphalus","Anomphalus","Mollusca","Gastropoda","Euomphalina","Anomphalidae",199.3,265.1,21,"epifaunal","stationary, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",0,3,2,1
"Phymatifer","Phymatifer","Mollusca","Gastropoda","Euomphalina","Euomphalidae",201.3,228,1,"epifaunal","stationary, unattached","suspension","hemocyanin","non-broadcaster","bimineralic","moderate carbonate load",1,1,1,1
"Chartroniella","Chartroniella","Mollusca","Gastropoda","Euomphalina","Paraturbinidae",201.3,228,20,"epifaunal","stationary, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,15,2,1
"Pareuryalox","Pareuryalox","Mollusca","Gastropoda","Murchisoniina","Gosseletinidae",201.3,228,2,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Pleurotomaria","Pleurotomaria","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pleurotomariidae",182.7,272.3,146,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,17,6,4
"Worthenia","Worthenia","Mollusca","Gastropoda","Murchisoniina","Lophospiridae",175.6,265.1,156,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",0,4,3,2
"Stephanocosmia","Stephanocosmia","Mollusca","Gastropoda","Murchisoniina","Loxonematidae",201.3,242,14,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Kokenella","Kokenella","Mollusca","Gastropoda","Murchisoniina","Porcelliidae",205.6,247.2,14,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Guidonia","Guidonia","Mollusca","Gastropoda","Murchisoniina","Trochonematidae",182.7,228,14,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",0,10,5,1
"Rinaldoella","Rinaldoella","Mollusca","Gastropoda","Murchisoniina","Wortheniellidae",205.6,247.2,54,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Andangularia","Andangularia","Mollusca","Gastropoda","Murchisoniina","Zygopleuridae",201.3,242,6,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",1,3,1,1
"Kittliconcha","Kittliconcha","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Settsassiidae",201.3,247.2,20,"epifaunal","slow, motile","grazer","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,6,3,2
"Zygopleura","Zygopleura","Mollusca","Gastropoda","Murchisoniina","Zygopleuridae",196.5,272.3,79,"epifaunal","facultative, unattached","suspension","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Bourguetia","Bourguetia","Mollusca","Gastropoda","Neogastropoda","Pseudomelaniidae",196.5,237,9,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Coelostylina","Coelostylina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Coelostylinidae",174.1,259.9,229,"epifaunal","slow, motile","grazer/predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,9,4,2
"Oonia","Oonia","Mollusca","Gastropoda","Neogastropoda","Pseudomelaniidae",182.7,237,6,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Pseudomelania","Pseudomelania","Mollusca","Gastropoda","Neogastropoda","Pseudomelaniidae",163.5,242,38,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Paradelphinulopsis","Paradelphinulopsis","Mollusca","Gastropoda","Neritoina","Delphinulopsidae",205.6,237,3,"epifaunal","slow, motile","grazer","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Cassianopsis","Cassianopsis","Mollusca","Gastropoda","Neritoina","Neritopsidae",174.1,242,48,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",0,3,1,1
"Neritopsis","Neritopsis","Mollusca","Gastropoda","Neritoina","Neritopsidae",175.6,247.2,33,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",0,1,1,1
"Nuetzelopsis","Nuetzelopsis","Mollusca","Gastropoda","Neritoina","Neritopsidae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",1,1,1,1
"Weitschatopsis","Weitschatopsis","Mollusca","Gastropoda","Neritoina","Neritopsidae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",1,1,1,1
"Palaeonarica","Palaeonarica","Mollusca","Gastropoda","Neritoina","Palaeonaricidae",205.6,252.17,28,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",1,1,1,1
"Actaeonina","Actaeonina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Acteoninidae",182.7,228,9,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,4,2,1
"Ovactaeonina","Ovactaeonina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Acteoninidae",182.7,235,4,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Chartronella","Chartronella","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Ataphridae",174.1,252.17,13,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Gudrunella","Gudrunella","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Ataphridae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Hesperocirrus","Hesperocirrus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Cirridae",201.3,228,10,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,8,4,1
"Sororcula","Sororcula","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Cirridae",201.3,228,9,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,9,2,2
"Omphaloptycha","Omphaloptycha","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Coelostylinidae",196.5,259.9,71,"epifaunal","slow, motile","grazer/predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,17,3,3
"Pustulifer","Pustulifer","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Coelostylinidae",201.3,242,21,"epifaunal","slow, motile","grazer/predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Discohelix","Discohelix","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Discohelicidae",174.1,247.2,99,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Spiniomphalus","Spiniomphalus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Discohelicidae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Emarginula","Emarginula","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Emarginulinae",182.7,237,18,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Eucycloscala","Eucycloscala","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Eucyclidae",189.6,247.2,74,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,8,4,3
"Eucyclus","Eucyclus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Eucyclidae",182.7,232,8,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,2,1,1
"Riselloidea","Riselloidea","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Eucyclidae",180,247.2,17,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,1,1,1
"Trochonodus","Trochonodus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Eucyclidae",205.6,265.1,2,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Brochidiella","Brochidiella","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Liotiidae",201.3,228,2,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Brochidium","Brochidium","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Liotiidae",201.3,247.2,10,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Heterospira","Heterospira","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Littorinidae",201.3,237,2,"epifaunal","slow, motile","grazer","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Praelittorina","Praelittorina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Littorinidae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Amauropsis","Amauropsis","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Naticidae",201.3,242,8,"semi-infaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,3,2,1
"Natica","Natica","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Naticidae",175.6,254.17,22,"semi-infaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Naticella","Naticella","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Naticidae",201.3,251.2,4,"semi-infaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,2,1,1
"Sigaretus","Sigaretus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Naticidae",201.3,237,1,"semi-infaunal","slow, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Dicosmos","Dicosmos","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Naticopsidae",205.6,259.9,38,"semi-infaunal","slow, motile","grazer","hemocyanin","non-broadcaster","bimineralic","moderate carbonate load",1,1,1,1
"Dentineritaria","Dentineritaria","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Neritariidae",174.1,242,6,"semi-infaunal","slow, motile","surface deposit","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Neritaria","Neritaria","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Neritariidae",180,251.3,82,"semi-infaunal","slow, motile","surface deposit","hemocyanin","intermediate","aragonite","moderate carbonate load",0,20,5,1
"Oncochilus","Oncochilus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Neritariidae",201.3,235,2,"semi-infaunal","slow, motile","surface deposit","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
