"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Cyamocarcinus","Cyamocarcinus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Daragrapsus","Daragrapsus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Daranyia","Daranyia","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eoplax","Eoplax","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Gemmellarocarcinus","Gemmellarocarcinus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ovamene","Ovamene","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ovocarcinus","Ovocarcinus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Paraxanthosia","Paraxanthosia","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pilumnomimus","Pilumnomimus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Polyonyx","Polyonyx","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
