"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Neofellerites","Neofellerites","Arthropoda","Ostracoda","Palaeocopida","NO_FAMILY_SPECIFIED",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Parvicyathus","Parvicyathus","Arthropoda","Ostracoda","Palaeocopida","NO_FAMILY_SPECIFIED",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Parvikirkbya","Parvikirkbya","Arthropoda","Ostracoda","Palaeocopida","Parvikirkbyiidae",254.17,259.9,10,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,4,2
"Nodoparaparchites","Nodoparaparchites","Arthropoda","Ostracoda","Palaeocopida","Pseudoparaparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Roundyella","Roundyella","Arthropoda","Ostracoda","Palaeocopida","Scrobiculidae",252.17,265.1,31,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,17,3,4
"Tribolbina","Tribolbina","Arthropoda","Ostracoda","Palaeocopida","Tribolbinidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Cavellina","Cavellina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",251.3,265.1,83,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,32,8,5
"Sulcella","Sulcella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",252.17,265.1,9,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,2,3
"Hollinella","Hollinella","Arthropoda","Ostracoda","Platycopida","Hollinellidae",251.3,265.1,77,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,12,6,3
"Indivisia","Indivisia","Arthropoda","Ostracoda","Platycopida","Indivisiidae",252.17,259.9,9,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Geffenina","Geffenina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Italogeisina","Italogeisina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Kloedcytherella","Kloedcytherella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,265.1,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Knoxiella","Knoxiella","Arthropoda","Ostracoda","Platycopida","Knoxitidae",251.3,265.1,36,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,3,1
"Pseudobeyrichiopsis","Pseudobeyrichiopsis","Arthropoda","Ostracoda","Platycopida","Knoxitidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Sargentina","Sargentina","Arthropoda","Ostracoda","Platycopida","Knoxitidae",252.17,259.9,16,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Miltonella","Miltonella","Arthropoda","Ostracoda","Platycopida","Miltonellidae",252.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Chamishaella","Chamishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,4,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Dentoparaparchites","Dentoparaparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,2,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Langdaia","Langdaia","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.2,265.1,25,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paraparchites","Paraparchites","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",252.17,265.1,44,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Samarella","Samarella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",251.3,265.1,117,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,8,1,1
"Shishaella","Shishaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Shivaella","Shivaella","Arthropoda","Ostracoda","Platycopida","Paraparchitidae",254.17,259.9,1,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Hungarogeisina","Hungarogeisina","Arthropoda","Ostracoda","Platycopida","Perprimitiidae",254.17,259.9,3,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,3,1
"Spinososioella","Spinososioella","Arthropoda","Ostracoda","Platycopida","Spinososioellidae",254.17,259.9,1,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Permoyoungiella","Permoyoungiella","Arthropoda","Ostracoda","Platycopida","Youngiellidae",252.17,259.9,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,1
"Acratia","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",232,265.1,153,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,19,9,3
"Acratinella","Acratinella","Arthropoda","Ostracoda","Podocopida","Acratiidae",252.17,259.9,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,2,2
"Cooperuna","Cooperuna","Arthropoda","Ostracoda","Podocopida","Acratiidae",252.17,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Lamellacratia","Lamellacratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Acratina","Acratina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",242,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Arcibairdia","Arcibairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,265.1,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,114,31,5
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,22,8,4
"Bairdianella","Bairdianella","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Bohlenatia","Bohlenatia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Borgerscottia","Borgerscottia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,4,1,1
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,34,15,5
"Orthobairdia","Orthobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",251.3,265.1,53,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Parabairdianella","Parabairdianella","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Paraglyptobairdia","Paraglyptobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Paramacrocypris","Paramacrocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,259.9,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Paraspinobairdia","Paraspinobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Paratriebelina","Paratriebelina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Petasobairdia","Petasobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",232,265.1,97,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,3,3
"Praelobobairdia","Praelobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",252.17,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,2,1
"Praezabythocypris","Praezabythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",251.3,259.9,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,2,3
"Sinabairdia","Sinabairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
