"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Carpopenaeus","Carpopenaeus","Arthropoda","Malacostraca","Decapoda","Carpopenaeidae",93.5,99.6,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,5,3,1
"Cenomanocarcinus","Cenomanocarcinus","Arthropoda","Malacostraca","Decapoda","Cenomanocarcinidae",66,109,20,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,2
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",66,113,6,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,2,1,1
"Avitelmessus","Avitelmessus","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,18,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dakoticancer","Dakoticancer","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Diaulax","Diaulax","Arthropoda","Malacostraca","Decapoda","Diaulacidae",83.6,125,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Annuntidiogenes","Annuntidiogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",66,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Paguristes","Paguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,100.5,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Petrochirus","Petrochirus","Arthropoda","Malacostraca","Decapoda","Diogenidae",41.3,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Striadiogenes","Striadiogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",93.5,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Eodorippe","Eodorippe","Arthropoda","Malacostraca","Decapoda","Dorippidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Telamonocarcinus","Telamonocarcinus","Arthropoda","Malacostraca","Decapoda","Dorippidae",93.5,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dromia","Dromia","Arthropoda","Malacostraca","Decapoda","Dromiidae",61.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Graptocarcinus","Graptocarcinus","Arthropoda","Malacostraca","Decapoda","Dynomenidae",66,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Enoploclytia","Enoploclytia","Arthropoda","Malacostraca","Decapoda","Erymidae",56,105.3,10,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaeastacus","Palaeastacus","Arthropoda","Malacostraca","Decapoda","Erymidae",66,100.5,1,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Xanthosia","Xanthosia","Arthropoda","Malacostraca","Decapoda","Etyidae",23.03,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Caloxanthus","Caloxanthus","Arthropoda","Malacostraca","Decapoda","Feldmanniidae",93.5,99.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
