"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Kitakamicaris","Kitakamicaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",247.2,251.3,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Parisicaris","Parisicaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",247.2,251.3,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Psammolimulus","Psammolimulus","Arthropoda","Xiphosura","Xiphosurida","Austrolimulidae",247.2,251.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Crania","Crania","Brachiopoda","Craniata","Craniida","Craniidae",201.3,259.9,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Orbiculoidea","Orbiculoidea","Brachiopoda","Lingulata","Lingulida","Disciniidae",228,265.1,80,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,9,2,3
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,25,3,7
"Spirigerellina","Spirigerellina","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,251.3,29,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,1,3
"Hustedtiella","Hustedtiella","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",247.2,251.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,1,2
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,1,1
"Norella","Norella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",201.3,251.3,39,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Nudirostralina","Nudirostralina","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,251.3,84,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,2,2
"Ortarhynchia","Ortarhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",242,251.3,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Paranorellina","Paranorellina","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",247.2,251.3,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,1,1
"Piarorhynchella","Piarorhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",242,252.17,40,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,39,2,3
"Abrekia","Abrekia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",242,252.17,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,1,1
