"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,28,1,1
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triassocythere","Triassocythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",232,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,32,1,4
"Dettermania","Dettermania","Arthropoda","Ostracoda","Podocopida","Covracytheridae",237,252.17,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Triassinella","Triassinella","Arthropoda","Ostracoda","Podocopida","Cytheridae",237,252.17,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Basslerella","Basslerella","Arthropoda","Ostracoda","Podocopida","Cytherideidae",242,265.1,171,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,1,1
"Citrella","Citrella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",242,251.3,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Healdia","Healdia","Arthropoda","Ostracoda","Podocopida","Healdiidae",242,259.9,30,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Hungarella","Hungarella","Arthropoda","Ostracoda","Podocopida","Healdiidae",189.6,252.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,2,2
"Anxiania","Anxiania","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",251.3,252.17,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Liuzhinia","Liuzhinia","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",242,265.1,87,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,56,5,5
"Renngartenella","Renngartenella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",221.5,251.3,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Spinocypris","Spinocypris","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",232,251.3,32,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Microcheilinella","Microcheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",242,265.1,262,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,1,1
"Spinomicrocheilinella","Spinomicrocheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",232,259.9,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ankitokazocaris","Ankitokazocaris","Arthropoda","Thylacocephala","Concavicarida","Concavicarididae",247.2,251.3,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ligulacaris","Ligulacaris","Arthropoda","Thylacocephala","Concavicarida","Concavicarididae",247.2,251.3,1,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Kitakamicaris","Kitakamicaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",247.2,251.3,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Parisicaris","Parisicaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",247.2,251.3,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Psammolimulus","Psammolimulus","Arthropoda","Xiphosura","Xiphosurida","Austrolimulidae",247.2,251.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Crania","Crania","Brachiopoda","Craniata","Craniida","Craniidae",201.3,259.9,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Orbiculoidea","Orbiculoidea","Brachiopoda","Lingulata","Lingulida","Disciniidae",228,265.1,80,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,10,3,3
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,110,9,10
"Sinoglottidia","Sinoglottidia","Brachiopoda","Lingulata","Lingulida","Lingulidae",251.3,252.17,7,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",1,7,1,2
"Sinolingularia","Sinolingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",251.3,252.17,28,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",1,28,1,2
"Araxathyris","Araxathyris","Brachiopoda","Rhynchonellata","Athyridida","Athyrididae",251.3,268.8,193,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Spirigerellina","Spirigerellina","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,251.3,29,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Hustedtiella","Hustedtiella","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",247.2,251.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Acosarina","Acosarina","Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae",251.3,272.3,221,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Kotlaia","Kotlaia","Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae",251.3,265.1,13,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,1,1
"Terebratuloidea","Terebratuloidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",251.3,265.1,164,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,2,1
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Laevorhynchia","Laevorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",251.3,252.17,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Lichuanorelloides","Lichuanorelloides","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",251.3,252.17,18,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,18,1,1
"Meishanorhynchia","Meishanorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",251.3,252.17,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,5,1,1
"Norella","Norella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",201.3,251.3,39,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Nudirostralina","Nudirostralina","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,251.3,84,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Ortarhynchia","Ortarhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",242,251.3,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Paranorellina","Paranorellina","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",247.2,251.3,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Piarorhynchella","Piarorhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",242,252.17,40,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Neowellerella","Neowellerella","Brachiopoda","Rhynchonellata","Rhynchonellida","Pontisiidae",251.3,252.17,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Prelissorhynchia","Prelissorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Pontisiidae",251.3,265.1,167,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,1,1
"Abrekia","Abrekia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",242,252.17,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Crurithyris","Crurithyris","Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae",251.3,268.8,54,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,3,1
"Orbicoelia","Orbicoelia","Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae",251.3,268.8,90,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,18,2,3
"Paracrurithyris","Paracrurithyris","Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae",251.3,254.17,105,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,15,1,2
"Speciothyris","Speciothyris","Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae",251.3,265.1,69,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,26,1,1
"Martinia","Martinia","Brachiopoda","Rhynchonellata","Spiriferida","Martiniidae",251.3,268.8,271,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,2,1
"Lepismatina","Lepismatina","Brachiopoda","Rhynchonellata","Spiriferinida","Lepismatinidae",201.3,252.17,63,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,2
