tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,2.0,1.0,1.0,2.0,0.5,1.5,1.0,4.5
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,2.0,0.0,,3.0,0.3333333333333333,1.5,1.0,4.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,3.0,0.0,,0.5,1.0,4.0,0.0,4.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,2.0,0.0,,1.5,0.3333333333333333,3.0,0.0,4.5
epifaunal,"slow, motile",grazer,other,intermediate,high Mg calcite,moderate carbonate load,2.0,2.0,0.0,,1.5,0.3333333333333333,3.0,0.6666666666666666,4.5
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,1.0,0.0,,1.0,1.0,3.0,0.3333333333333333,4.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,3.0,0.0,,0.0,,4.0,0.5,4.0
pelagic,"fast, motile",predator,hemoglobin,intermediate,soft-bodied,little or no carbonate load,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,4.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,2.0,0.0,,0.0,,4.0,0.25,4.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,5.0,5.0,4.0,0.75,0.0,,0.0,,4.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,7.0,1.0,1.0,0.0,,3.0,1.0,4.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,6.0,5.0,4.0,1.0,0.0,,0.0,,4.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,4.0,5.0,0.0,,2.0,0.0,2.0,0.0,4.0
deep infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,1.0,1.0,0.0,,3.0,0.3333333333333333,4.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,1.0,3.0,0.6666666666666666,1.0,1.0,0.0,,4.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,2.0,5.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0
erect,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,2.0,3.0,0.6666666666666666,1.0,1.0,0.0,,4.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,2.0,0.0,,0.0,,4.0,0.5,4.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,1.0,1.0,1.0,0.0,,3.0,1.0,4.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,3.0,2.0,1.0,2.0,0.5,0.0,,4.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,1.0,3.0,3.0,0.3333333333333333,0.0,,1.0,0.0,4.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,5.0,2.0,0.5,1.0,1.0,1.0,0.0,4.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,2.0,0.0,,1.0,1.0,3.0,1.0,4.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,3.0,0.0,,0.0,,4.0,1.0,4.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,4.0,0.0,,0.0,,4.0,0.75,4.0
epifaunal,"facultative, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,1.0,0.0,,2.0,1.0,2.0,0.5,4.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,2.0,0.0,,0.0,,4.0,0.5,4.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,3.0,0.0,,2.0,0.5,2.0,0.0,4.0
shallow infaunal,"slow, motile",miner,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,4.0,4.0,1.0,0.0,,0.0,,4.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,2.0,1.0,0.0,0.0,,3.0,0.3333333333333333,4.0
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,1.0,0.0,,0.0,,3.5,0.2857142857142857,3.5
