phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingularia,174.1,259.9,0,293,4,3,2,shallow infaunal,"facultative, unattached",suspension,hemerythrin,broadcaster,phosphatic,little or no carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Clavigera,201.6,212,1,11,11,1,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Majkopella,201.3,228,1,10,10,3,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Misolia,201.3,237,1,14,4,3,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Ochotathyris,205.6,228,1,9,2,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Oxycolpella,201.3,247.2,1,79,53,5,8,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Diplospirellidae,Stolzenburgiella,201.3,247.2,1,5,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Amphiclina,201.3,242,1,51,13,3,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Amphiclinodonta,183,242,0,6,0,0,0,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Carinokoninckina,201.3,247.2,1,20,2,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Koninckella,182,247.2,0,36,0,0,0,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Koninckina,201.3,237,1,32,4,2,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Lamellokoninckina,201.3,237,1,7,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Koninckinidae,Septamphiclina,201.3,237,1,3,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,Neoretziidae,Neoretzia,201.3,237,1,25,17,1,4,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Athyridida,NO_FAMILY_SPECIFIED,Spirigera,201.3,247.2,1,30,3,3,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Atrypida,Atrypinidae,Hectoria,189.6,212,0,6,5,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Allorhynchidae,Caucasorhynchia,201.3,247.2,1,32,6,4,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Allorhynchidae,Hagabirhynchia,201.3,228,1,4,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Austrirhynchidae,Austrirhynchia,201.3,208.5,1,35,35,1,4,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Austrirhynchidae,Trigonirhynchella,201.3,247.2,1,8,3,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Basiliolidae,Veghirhynchia,201.3,242,1,17,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Costirhynchopsis,201.3,247.2,1,89,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Fissirhynchia,201.3,232,1,106,83,2,8,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Timorhynchia,201.3,237,1,17,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Cyclothyrididae,Yidunella,201.3,237,1,10,2,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Erymnariidae,Crurirhynchia,201.3,237,1,7,3,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Halorellidae,Halorella,201.3,237,1,19,3,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Halorellidae,Halorelloidea,205.6,237,1,10,3,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Austriellula,174.1,251.3,0,46,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Holcorhynchia,182,237,0,7,0,0,0,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Maxillirhynchia,175.6,228,0,5,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Norella,201.3,251.3,1,39,2,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Osmarella,201.3,208.5,1,3,3,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Norellidae,Pseudohalorella,201.3,228,1,14,12,1,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Peregrinellidae,Carapezzia,199.3,208.5,0,3,2,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Herangirhynchia,174.1,205.6,0,151,3,1,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Lunaria,201.3,237,1,5,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Murihikurhynchia,190.8,227.5,0,75,10,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Omolonella,205.6,228,1,10,9,3,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Piarorhynchia,175.6,237,0,88,25,5,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Planirhynchia,183,242,0,21,2,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rhynchonella,182.7,247.2,0,62,3,1,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Rimirhynchopsis,201.3,237,1,4,4,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Sakawairhynchia,174.1,242,0,613,190,5,4,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,Sulcorhynchia,201.3,247.2,1,8,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchotrematidae,Rhynchotrema,201.3,237,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Sinorhynchiidae,Volirhynchia,201.3,247.2,1,68,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Apertirhynchella,201.3,237,1,4,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Calcirhynchia,182.7,208.5,0,94,9,1,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Cirpa,174.1,247.2,0,94,0,0,0,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Euxinella,201.3,237,1,33,22,5,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Moisseievia,201.3,228,1,4,2,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Robinsonella,201.3,228,1,8,4,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Rhynchonellida,Wellerellidae,Vincentirhynchia,174.1,208.5,0,95,12,1,3,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Laballidae,Laballa,201.3,237,1,39,24,3,3,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Lepismatinidae,Bolilaspirifer,201.3,215.56,1,2,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Lepismatinidae,Costispiriferina,201.3,247.2,1,23,6,3,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Lepismatinidae,Lepismatina,201.3,252.17,1,63,2,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Mentzeliidae,Mentzelia,201.3,247.2,1,220,8,5,3,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Pennospiriferinidae,Punctospirella,201.3,247.2,1,78,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Rastelligeridae,Orientospira,205.6,228,1,7,5,2,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Rastelligeridae,Rastelligera,201.3,212,1,4,4,3,2,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Sinucostidae,Sinucosta,201.3,247.2,1,63,33,4,4,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Spiriferellinidae,Lancangjiangia,201.3,237,1,4,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Spiriferellinidae,Tulungospirifer,201.3,247.2,1,16,1,1,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Spiriferinidae,Pseudospiriferina,196.5,251.3,0,35,0,0,0,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
Brachiopoda,Rhynchonellata,Spiriferinida,Spiriferinidae,Spiriferina,163.5,265.1,0,166,5,4,1,epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load
