phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,23.03,100.5,0,4,0,0,0,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Cancrinidae,Cancrinos,66,100.5,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Carcineretidae,Carcineretes,66,100.5,1,2,2,2,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Cenomanocarcinidae,Cenomanocarcinus,66,105.3,1,16,3,3,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dakoticancridae,Avitelmessus,66,100.5,1,18,18,1,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dakoticancridae,Dakoticancer,66,100.5,1,12,12,3,3,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dakoticancridae,Tetracarcinus,66,83.6,1,8,2,1,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Diogenidae,Annuntidiogenes,66,105.3,1,2,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,23.03,100.5,0,16,3,3,3,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Diogenidae,Parapaguristes,66,70.6,1,2,2,2,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Diogenidae,Petrochirus,41.3,100.5,0,3,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dorippidae,Eodorippe,66,100.5,1,2,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dynomenidae,Distefania,70.6,83.5,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dynomenidae,Dromiopsis,33.9,70.6,0,16,2,2,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Dynomenidae,Graptocarcinus,66,100.5,1,6,3,2,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Enoploclytia,56,100.5,0,8,4,4,3,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Eryma,66,100.5,1,3,3,3,2,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Palaeastacus,66,100.5,1,1,1,1,1,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Erymidae,Pustulina,66,83.5,1,1,1,1,1,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Etyidae,Xanthosia,23.03,83.5,0,5,3,3,2,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Galatheidae,Calteagalathea,66,100.5,1,1,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Galatheidae,Galathea,23.03,100.5,0,15,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Galatheidae,Paragalathea,66,105.3,1,5,2,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Glaessneropsidae,Ekalakia,66,72.1,1,4,4,2,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Glypheidae,Glyphea,41.3,100.5,0,46,2,2,2,semi-infaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Gourretiidae,Gourretia,66,100.5,1,5,2,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Homolidae,Homolopsis,61.6,100.5,0,4,1,1,1,epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load
