phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Bairdia,174.1,265.1,0,1000,572,55,6,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Bairdiacypris,174.1,265.1,0,277,171,12,4,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Bairdiolites,201.3,254.17,0,13,12,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Ceratobairdia,196.5,265.1,0,19,13,3,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Fabalicypris,189.6,265.1,0,148,108,10,4,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Kempfina,242,254.17,0,10,9,3,2,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Lobobairdia,182.7,254.17,0,67,58,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Mirabairdia,221.5,254.17,0,27,23,3,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Orthobairdia,251.3,265.1,0,53,48,5,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Paraglyptobairdia,232,259.9,0,3,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Paramacrocypris,252.17,259.9,1,4,3,1,2,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Petasobairdia,232,265.1,0,97,77,4,3,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Praelobobairdia,252.17,259.9,1,6,3,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Praezabythocypris,251.3,259.9,0,16,1,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Pustulobairdia,196.5,254.17,0,10,7,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiocyprididae,Baschkirina,252.17,259.9,1,55,53,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiocyprididae,Praepilatina,252.17,259.9,1,8,5,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiocyprididae,Pseudobythocypris,252.17,259.9,1,34,33,3,3,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiocyprididae,Silenis,252.17,259.9,1,11,10,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiocyprididae,Silenites,252.17,254.17,1,26,26,3,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Beecherellidae,Acanthoscapha,232,259.9,0,15,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bythocyprididae,Bythocypris,175.6,254.17,0,12,5,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bythocytheridae,Callicythere,242,265.1,0,58,1,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bythocytheridae,Monoceratina,174.1,259.9,0,77,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bythocytheridae,Parabythocythere,252.17,259.9,1,6,2,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
